sku,title,shopify,amazon,etsy,google,notes
134_TP H__,Ashwood Toilet Paper Holder Vertical,active,B07P8214FS,,yes,etsy: no connector
36_BED _LIGH_,Bed serving tray,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
36_BED _DARK_,Bed serving tray beige,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,Buffet Cabinet with Storage,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
56_SOFA_KHAK_,Burned wooden sofa arm tray table with phone holder,active,B07K6S5QHL,,yes,etsy: no connector
173_HANG_DARK_,Cactus Hangers (set of 6),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
185_PHON_WHIT_,Cell phone stand from metal,active,B0851JPTF3,,yes,etsy: no connector
188_PHON_WHIT_,Cell phone stand metal colorful,active,B0851JPTF3,,yes,"amazon match likely, verify; etsy: no connector"
186_PHON_WHIT_,Cell phone stand metal with stripes,active,B0851JPTF3,,yes,"amazon match likely, verify; etsy: no connector"
187_PHON_WHIT_,Cell phone stand metal wood base,active,B0851JPTF3,,yes,"amazon match likely, verify; etsy: no connector"
121_KIDS_PINK_,"Children Wooden Wardrobe, Kids Clothing Rack",active,B09J92HC2J,,yes,etsy: no connector
116_FARM__,Children's small desk (Farmer table),draft,,,no,draft; etsy: no connector
367_COFF_WALN_,Coffee Table - pani,active,B07MZ5KPFV,,yes,etsy: no connector
207_COFF_ASH_,Coffee Table Oval,draft,B07MZ5KPFV,,no,draft; etsy: no connector
243_DESK_1MDF_,Desk accessories - office desk organizers (MDF),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
50_MONI__,Desk monitor riser from wood (with bark),active,B0D9YV7D14,,yes,"amazon match likely, verify; etsy: no connector"
141_CHIL_ROCK_,Different shaped kids wall mirror,active,B09QSPXRD3,,yes,etsy: no connector
190_DOG _WHIT_,Dog bowl raised with wood legs,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
291_DOG _WHIT_,Elevated dog bowl (Metal and wood triangle),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
191_DOG _WHIT_,Elevated dog bowl (Stainless steel),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,EWART WOODS Gift Card,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
10_META_BEIG3_,"Floating metal shelf with wood panels, Wall Mounted",active,B0D678XL89,,yes,etsy: no connector
184_META_WHIT_,Floating metal wall shelf for plants (WITH HOLE),active,B0C5DJ96PB,,yes,etsy: no connector
336_FLOA_WALN_,Floating Nighstand Set of 2,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
334_FLOA_WALN_,Floating Nighstand Small,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
353_FLOA_WALN_,Floating Night Stand for Bedroom - Brass Collection,active,B0FN4NTQFR,,yes,etsy: no connector
,Floating Shelf CurveLine,active,B0D678XL89,,yes,no sku in shopify; etsy: no connector
339_SMAL_WALN_,Floating Shelf Small CurveLine,active,B0D678XL89,,yes,etsy: no connector
193_META_WHIT_,Floating wall plant shelf metal with spaces,active,B0D678XL89,,yes,etsy: no connector
299_FLAT_1WAL_,Floating Wall Shelf - Flat (5 Styles),active,B0F9X9MGJM,,yes,etsy: no connector
220_SHEL_WOBLAC_,Floating wall shelf CAPSULE,active,B0D678XL89,,yes,etsy: no connector
351_WOOD_WALN_,Floating Wall Shelf Closed U,active,B0D678XL89,,yes,etsy: no connector
264_EDGE_WALN_,Floating Wall Shelf Curved - Edge,active,B099X2T5CF,,yes,etsy: no connector
267_THIN_WALN_,Floating Wall Shelf Curved - Thin Wave,active,B0F9X9MGJM,,yes,etsy: no connector
346_WOOD_WALN_,Floating Wall Shelf from Wood - Luno,active,B0D678XL89,,yes,etsy: no connector
347_WOOD_WALN_,Floating Wall Shelf from Wood - Pie,active,B0D678XL89,,yes,etsy: no connector
249_WOOD__,Floating Wall Shelf Geometric ( Set of 3),active,B091CQWG9L,,yes,etsy: no connector
199_META_WHIT_,Floating wall shelf half circle with spaces,active,B09CPNRSTZ,,yes,etsy: no connector
33_HEXA_RUST_,Floating wall shelf hexagon,active,B098P9RTQM,,yes,etsy: no connector
180_META_BLAC_,Floating wall shelf metal,active,B0D678XL89,,yes,etsy: no connector
222_META_BLAC_,Floating wall shelf metal (2),active,B0D678XL89,,yes,etsy: no connector
221_META_WHIT_,Floating wall shelf metal hexagon,active,B098P9RTQM,,yes,etsy: no connector
345_WOOD_WALN_,Floating Wall Shelf Oval,active,B0F9X9MGJM,,yes,etsy: no connector
344_WOOD_WALN_,Floating Wall Shelf S Style,active,B0D678XL89,,yes,etsy: no connector
375_SHEL_WENG_,Floating Wall Shelf Wave - istos,active,B0F9X9MGJM,,yes,etsy: no connector
361_WOOD_WALN_,Floating Wall Shelves Circular,active,B098P9RTQM,,yes,etsy: no connector
120_FLOA__,Floating wall shelves for kids - CLOUD shape (SET OF 3),draft,B09FXT55NK,,no,"draft; amazon match likely, verify; etsy: no connector"
,Floating Wall Shelves Set of 3 LOOP,active,B098P9RTQM,,yes,no sku in shopify; etsy: no connector
225_SHEL_BLAC_,"Floating wall shelves, Set of 3, Shelves for Living Room",active,B098P9RTQM,,yes,"amazon match likely, verify; etsy: no connector"
296_PLAN_WALN_,Floor Planter Podium Wooden (set of 3),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
332_PLAN_WALN_,Floor Planter Podium Wooden Cubes (set of 3),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
334_FLOA_WALN_,Free Standing Nightstand - Brass Collection,active,B0CKXX3QVF,,yes,"amazon match likely, verify; etsy: no connector"
358_NIGH_WALN_,Free Standing Nightstand BOX - Brass Collection,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
303_TP H_WALN_,Free Standing Toilet  Paper Holder,draft,B0DB66FBH7,,no,draft; etsy: no connector
